Component,ComponentCode,ComponentType,Quantity,DateReceived,Notes,LeadTimeDays,MaxCapacity,SafetyFactor,ReorderPoint
DEF 2.5 Gal Bottle,BOT-DEF2.5,bottle,1452.8000000000004,04-09-2026,Line 5 – Resolute DEF 2.5 Gal classic,14.0,0.0,1.0,33767.99999999999
DEF 2.5 Gal Spout,DEFSPOUT,spout,16530.4,09-10-2026,Stocktake set count,14.0,0.0,1.1,33767.99999999999
DEF Cap,CAP-DEF,cap,53057.799999999996,1-1-2026,Line 5 – Resolute DEF 2.5 Gal classic,14.0,0.0,1.0,33767.99999999999
Drum Green Power -34 Label,LBL-ATGP50-55,label,20.0,,Line 4 – Drum Green Power -34,14.0,0.0,1.1,2800.0
Drum OTR +32 Label,TBD-OTR32DR-LBL,label,1000.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
Drum OTR-0 Label,OTRW05-LBL,label,1094.0,,Line 4 – Drum OTR-0,14.0,0.0,1.1,2800.0
Drum OTR-25 Label,OTRW255-LBL,label,5796.0,,Line 4 – Drum OTR-25,14.0,0.0,1.1,2800.0
Empty Totes Recon 275 gal,TOTE-MT275,Tote,64.0,1-1-2026,Received via RM-01 (auto-created),14.0,0.0,1.1,0.0
Extreme 50/50 (RED) Back Label,TBD-EXT50-B,label,23390.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
Extreme 50/50 (RED) Front Label,TBD-EXT50-F,label,23390.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
F Style Blank Box,BOX-FSTYLEBLANK,box,7458.48,05-07-2026,Line 1 – Xtreme AF,14.0,0.0,1.1,184146.48
Fleet Power 50 Back Label,LBL-ATCFP-B,label,26428.0,1-1-2026,,14.0,0.0,1.0,163537.92
Fleet Power 50 Box Label,LBL-ATCFP-BOX,label,2000.0,1-1-2026,,14.0,0.0,1.1,0.0
Fleet Power 50 Front Label,LBL-ATCFP-F,label,26428.0,1-1-2026,,14.0,0.0,1.0,163537.92
FrostX Label,LBL-45959,label,138000.0,1-1-2026,Line 3 – FrostX W/Wash -30,14.0,0.0,1.0,183456.0
Global Power 100 Back Label,LBL-ATGLPFS-B,label,20551.0,1-1-2026,Line 1 – Global Power 100,14.0,0.0,1.0,163537.92
Global Power 100 Box Label,LBL-ATGLPFS-BOX,label,2928.0,1-1-2026,Line 1 – Global Power 100,14.0,0.0,1.0,0.0
Global Power 100 Front Label,LBL-ATGLPFS-F,label,20551.0,1-1-2026,Line 1 – Global Power 100,14.0,0.0,1.0,163537.92
Global Power 50 Back Label,LBL-ATGLP50-B,label,33304.36,1-1-2026,Line 1 – Global Power 50,14.0,0.0,1.0,163537.92
Global Power 50 Box Label,LBL-ATGLP50-BOX,label,349.0,1-1-2026,Line 1 – Global Power 50,14.0,0.0,1.0,0.0
Global Power 50 Front Label,LBL-ATGLP50-F,label,47304.36,1-1-2026,Line 1 – Global Power 50,14.0,0.0,1.0,163537.92
Green Power 100 Back Label,LBL-ATGPFS-B,label,1275.0,1-1-2026,Line 1 – Green Power 100,14.0,0.0,1.0,163537.92
Green Power 100 Box Label,LBL-ATGPFS-BOX,label,5855.0,1-1-2026,Line 1 – Green Power 100,14.0,0.0,1.0,0.0
Green Power 100 Front Label,LBL-ATGPFS-F,label,1275.0,1-1-2026,Line 1 – Green Power 100,14.0,0.0,1.0,163537.92
Green Power 50 Back Label,LABEL-00048-B,label,66072.43999999999,01-07-2026,Line 1 – Green Power 50,14.0,0.0,1.0,163537.92
Green Power 50 Front Label,LABEL-00048-F,label,66072.43999999999,01-07-2026,Line 1 – Green Power 50,14.0,0.0,1.0,163537.92
Green Power Box,BOX-GREENPWR,box,0.0,04-21-2026,Line 1 – Green Power 50,14.0,0.0,1.0,0.0
Jegs 10W30 Back Label,LABEL-JEGS1030-B,label,1500.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,127196.16
Jegs 10W30 Front Label,LABEL-JEGS1030-F,label,1500.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,127196.16
Jegs 20W50 Back Label,LABEL-JEGS2050-B,label,5000.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
Jegs 20W50 Front Label,LABEL-JEGS2050-F,label,5000.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
Laundry Bucket Lid (Natural),TBDBLIDNAT,bucket lid,4555.0,,Line 4 – Choice Laundry Detergent Gain Type 3.5 Gal,14.0,0.0,1.1,42209.99999999999
Liquid Spray Bottle,TBD-SPRAY-BOT,bottle,36630.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
Liquid Spray Head,TBD-SPRAY-HEAD,box,110000.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
M96027X 40 # PAIL - CHROMATINT GREEN 1102 LIQUID,M96027X,Pail,40.0,1-1-2026,Inventory Check in PLC end of December,14.0,0.0,1.0,0.0
Muriatic Acid Label,LBL-45912-MA,label,6000.0,1-1-2026,,14.0,0.0,1.0,139776.0
OEF Asian Blue Back Label,LABEL-11398-B,label,9000.0,1-1-2026,Line 1 – OEF Asian Blue,14.0,0.0,1.0,163537.92
OEF Asian Blue Box Label,LABEL-11398-BOX,label,6000.0,1-1-2026,Line 1 – OEF Asian Blue,14.0,0.0,1.0,52940.16
OEF Asian Blue Front Label,LABEL-11398-F,label,13000.0,1-1-2026,Line 1 – OEF Asian Blue,14.0,0.0,1.0,163537.92
OEF Asian Red/Pink Back Label,LABEL-11404-B,label,16000.0,1-1-2026,Line 1 – OEF Asian Red/Pink,14.0,0.0,1.0,163537.92
OEF Asian Red/Pink Box Label,LABEL-11404-BOX,label,9000.0,1-1-2026,Line 1 – OEF Asian Red/Pink,14.0,0.0,1.0,52940.16
OEF Asian Red/Pink Front Label,LABEL-11404-F,label,16000.0,1-1-2026,Line 1 – OEF Asian Red/Pink,14.0,0.0,1.0,163537.92
OEF Euopean Pink Box Label,LABEL-11428-BOX,label,4000.0,1-1-2026,Line 1 – OEF European Pink,14.0,0.0,1.0,52940.16
OEF Euopean Pink Front Label,LABEL-11428-F,label,19000.0,1-1-2026,Line 1 – OEF European Pink,14.0,0.0,1.0,163537.92
OEF European Blue Back Label,LABEL-11411-B,label,15000.0,1-1-2026,Line 1 – OEF European Blue,14.0,0.0,1.0,163537.92
OEF European Blue Box Label,LABEL-11411-BOX,label,5000.0,1-1-2026,Line 1 – OEF European Blue,14.0,0.0,1.0,52940.16
OEF European Blue Front Label,LABEL-11411-F,label,19000.0,1-1-2026,Line 1 – OEF European Blue,14.0,0.0,1.0,163537.92
OEF European Pink Back Label,LABEL-11428-B,label,19000.0,1-1-2026,Line 1 – OEF European Pink,14.0,0.0,1.0,163537.92
OTR -25 Back Label,LBL-52086-B,label,258000.0,,Line 1 – OTR -25 W/Wash,14.0,0.0,1.1,161179.19999999998
OTR -25 Front Label,LBL-52086-F,label,258000.0,,Line 1 – OTR -25 W/Wash,14.0,0.0,1.1,161179.19999999998
OTR +32 BackLabel,TBD-OTR32-B,label,30000.0,06-30-2026,Added from confirmed 06/30/2026 inventory baseline,0.0,0.0,1.0,0.0
OTR +32 Front Label,LBL-52091-F,label,30000.0,,,14.0,0.0,1.1,161179.19999999998
OTR 0 Back Label,LBL-52089-B,label,19731.84,,,14.0,0.0,1.1,163537.92
OTR 0 Front Label,LBL-52089-F,label,19731.84,,,14.0,0.0,1.1,163537.92
Plain 6/1 Box,BOX-PLAIN-6/1,box,5152.54,01-30-2026,Line 3 – Resolute +32 Bug Wash,14.0,0.0,1.1,29591.1
PolarX Label,LBL-45958,label,285367.0,01-07-2026,Line 3 – PolarX W/Wash -20,14.0,0.0,1.0,183456.0
Pool Shock Cap,CAP-PS,cap,53101.0,1-1-2026,Line 3 – Pool Shock,14.0,0.0,1.0,162892.80000000002
Pool Shock Label,LABEL-PSLC125,label,5201.0,1-1-2026,Line 3 – Pool Shock,14.0,0.0,1.0,167731.2
Propel 50 Back Label,LBL-PROAF50-B,label,14551.0,1-1-2026,Line 1 – Propel 50,14.0,0.0,1.0,163537.92
Propel 50 Front Label,LBL-PROAF50-F,label,14551.0,1-1-2026,Line 1 – Propel 50,14.0,0.0,1.0,163537.92
Pure Air DEF 2.5 Gal Box,,box,700.0,08-31-2026,Added from verified 08/31/2026 physical count,14.0,0.0,1.0,0.0
Quality DEF W/Wash -20 Label,LBL-Q1WWP5,label,22879.0,,Line 3 – Quality DEF W/Wash -20,14.0,0.0,1.1,178164.0
Quality DEF W/Wash +32 Label,LBL-QDWW+32,label,25000.0,,,14.0,0.0,1.1,179928.0
Quality DEF W/Wash 0 Label,LBL-Q1WWZX,label,23727.0,,Line 3 – Quality DEF W/Wash 0,14.0,0.0,1.1,178164.0
Quik Lite Back Label,LBLB-CHAR,label,29739.12,04-25-2026,Line 6 – Quick Lite,14.0,0.0,1.1,75479.04000000001
Quik Lite Bottle,BOT-CHAR,bottle,45128.0,06-05-2026,Line 6 – Quick Lite,14.0,0.0,1.1,72576.0
Quik Lite Box,BOX-CHAR,box,6056.0,04-30-2026,Line 6 – Quick Lite,14.0,0.0,1.1,6048.0
Quik Lite Cap,CAP-CHAR,cap,227805.56,04-30-2026,Line 6 – Quick Lite,14.0,0.0,1.1,74027.52
Quik Lite Front Label,LBLF-CHAR,label,29739.12,04-25-2026,Line 6 – Quick Lite,14.0,0.0,1.1,75479.04000000001
Resolute -20 W/Wash Label,RES-20F,label,35367.4,,Line 3 – Resolute -20 W/Wash,14.0,0.0,1.1,183456.0
Resolute -30 W/Wash Label,RES-30F,label,41482.0,,Line 3 – Resolute -30 W/Wash,14.0,0.0,1.1,183456.0
Resolute +32 Bug Wash Label,RES+32F,label,42000.0,06-15-2026,Line 3 – Resolute +32 Bug Wash,14.0,0.0,1.1,181692.0
Resolute DEF 2.5 Gal Box Classic,RESD25-BOX,box,36806.799999999996,04-09-2026,Line 5 – Resolute DEF 2.5 Gal classic,14.0,0.0,1.1,33767.99999999999
